date,market_return,coverage,frac_down,fast_market_vol,slow_market_vol,vol_ratio,vol_percentile,apc_window,apc,apc_n_names,apc_threshold_quantile,market_tail_quantile,breadth_quantile,coverage_quantile,apc_threshold,market_return_threshold,frac_down_threshold,coverage_floor,apc_excess,apc_excess_percentile,market_stress_percentile,breadth_percentile,event_severity,drop_z_threshold,adaptive_trade_horizon_days,adaptive_daily_lot_log_return_cap
2013-09-20,-0.0027696163481680577,4537.0,0.5018734846815076,0.004881020878460938,0.005454390927275377,0.8948791796445633,0.4131223465843304,88.0,0.10331930504889762,122.0,0.6945928213045156,0.13803164801235046,0.6532805866460827,0.2880316480123505,0.13693842547024454,-0.006487446296091954,0.4208379107511045,187.0,-0.03361912042134692,0.8781429810041775,0.7296051620832693,0.8037332923644185,0.8038271451506217,1.1914496550129148,37,0.13134442084006634
2013-09-23,-0.0021785810156908776,4537.0,0.44456689442362796,0.004832897460559808,0.00542760322342225,0.8904293961105978,0.4029021302871257,89.0,0.10312881305534013,122.0,0.6910157456004941,0.13956468045693116,0.6507255325717815,0.2895646804569312,0.13622140758836468,-0.0064339516431584426,0.41948542172221603,187.0,-0.033092594533024544,0.8781525851197982,0.6981334971964053,0.7011291189799523,0.7591384004320519,1.1898370541951446,36,0.13063588203921367
2013-09-24,0.0010870296516324349,4539.0,0.35051773518396123,0.004754126841362267,0.005395433815666982,0.8811389415170805,0.37902292197267884,92.0,0.10090194157831077,122.0,0.6826580226904376,0.14314656170409817,0.6447557304931697,0.2931465617040982,0.13483124975990882,-0.006285396200842932,0.41935483870967744,188.0,-0.03392930818159805,0.8781621877216487,0.5564516129032258,0.44807987711213515,,1.1856264399214411,35,0.1288279819358446
2013-09-25,0.0011034541037507988,4539.0,0.39325842696629215,0.004620615311210171,0.00535328373354089,0.863136635605507,0.33215002315172093,96.0,0.10370232681448367,123.0,0.6662525081031023,0.15017749652724188,0.6330375057879303,0.30017749652724185,0.13091058831389052,-0.005979325706604721,0.41451846380112883,189.0,-0.027208261499406847,0.8781717888100867,0.5564856769833346,0.5825973427540128,,1.1770241605166898,32,0.12550505189428254
2013-09-26,0.001646631746977107,4524.0,0.3183023872679045,0.004490882178328812,0.0053114832893703745,0.8455043410032385,0.2896056794505749,100.0,0.0750434118441029,123.0,0.6513619878077013,0.15655914808241378,0.6224014198626437,0.3065591480824138,0.127122156892207,-0.005749538594980451,0.4088419185048175,190.0,-0.052078745048104086,0.87818138838547,0.5565197358316695,0.3431116571955153,,1.168237132653908,29,0.12287778536829651
2013-09-27,-0.0011621451358067472,4544.0,0.4826144366197183,0.004368330100398141,0.0052713794327017074,0.8286882316417258,0.24837962962962962,103.0,0.0755550535027248,123.0,0.6369328703703704,0.16274305555555557,0.6120949074074075,0.31274305555555554,0.12373953708821263,-0.005502940781563393,0.4041309856652915,191.0,-0.048184483585487825,0.8781909864481563,0.636719649850265,0.7699454810719496,0.7616187057901236,1.1614645608456495,26,0.12012190490500206
2013-09-30,-0.002071399114493588,4547.0,0.4721794589839455,0.004271941731173512,0.00523401735504712,0.8161879186461072,0.22143353136332072,106.0,0.08766665644669405,123.0,0.6275017359771623,0.1667849702955019,0.6053583828408302,0.3167849702955019,0.12211921351187557,-0.005405194531916587,0.40164420536215767,192.0,-0.03445255706518152,0.8782005829985031,0.6921068796068796,0.7556050368550369,0.7753041664868064,1.1565552281548055,24,0.1180790213024216
2013-10-01,0.005094146818656284,4553.0,0.22578519657368767,0.004203966488210591,0.005202656295203489,0.8080423248574723,0.20529239314920536,107.0,0.08834303595271274,123.0,0.6218523376022219,0.16920614102761922,0.6013230982873013,0.31920614102761924,0.12123103019842738,-0.005338296082960581,0.4,192.0,-0.03288799424571463,0.8782101780368679,0.556468330134357,0.1107869481765835,,1.1535438131373825,24,0.11720066563927925
2013-10-02,-0.0014240480076903516,4553.0,0.4498133099055568,0.0042159299942070814,0.005193799364450966,0.8117236917280777,0.21245082156908124,107.0,0.07688429399268146,123.0,0.6243577875491785,0.16813237676463783,0.6031127053922704,0.3181323767646378,0.12164920342190534,-0.005373344776106389,0.4009901698345736,192.0,-0.044764909429223884,0.8782197715636078,0.653692614770459,0.709120221096269,0.7470108691434453,1.1547274985750808,24,0.11760241111322109
2013-10-03,-0.006092362883070681,4557.0,0.5938117182356814,0.00413156753686255,0.005158598863713009,0.8009088603351432,0.19230175871644553,109.0,0.08835813583335532,123.0,0.6173056155507559,0.17115473619253319,0.5980754396791115,0.3211547361925332,0.12045475854691676,-0.005276276559037224,0.4,192.0,-0.03209662271356144,0.87822936357908,0.851999692945421,0.9064251170645582,0.8788847245296864,1.1514816677143376,23,0.11654856323841917
2013-10-04,0.003657482033665787,4558.0,0.26612549363756033,0.004317627837641139,0.005183954724863059,0.8328830143776371,0.25908214423447745,102.0,0.0796623113910544,123.0,0.6406787504820671,0.1611376783648284,0.6147705360586194,0.31113767836482836,0.12439392141647562,-0.00556122881327356,0.40557583221680993,191.0,-0.044731610025421226,0.8782389540836418,0.5564169481117592,0.19918636782315013,,1.163486572381254,27,0.12080874847952704
2013-10-07,-0.00603643702330668,4560.0,0.5866228070175439,0.0042654236786414815,0.005158996083544766,0.8267933546696342,0.2437143297855931,104.0,0.07960248832465827,123.0,0.6353000154249576,0.16344285053216104,0.6109285824463984,0.31344285053216103,0.12335080586179885,-0.005487203453643965,0.4036443324648733,191.0,-0.04374831753714058,0.87824854307765,0.8508711336249904,0.9026018880957863,0.8772405215994756,1.1605727611283936,26,0.11978593761593175
2013-10-08,-0.010599124288667546,4560.0,0.6214912280701754,0.004418234349460137,0.005182197230179807,0.8525793506525489,0.3073956967687206,98.0,0.1044549323441688,125.0,0.6575884938690523,0.15389064548469192,0.6268489241921802,0.3038906454846919,0.12864063691890376,-0.005858232546144725,0.41163831742159707,189.0,-0.024185704574734956,0.8782581305614615,0.9337682271680737,0.9289332310053722,0.9136531962449691,1.1714707243470643,30,0.1238326233965709
2013-10-09,-0.001273092631293995,4562.0,0.4050854888206927,0.004970753761424135,0.005320470272566818,0.9342696240695346,0.5133405305367057,79.0,0.1103801440759223,122.0,0.729669185687847,0.12299892041949416,0.6783351326341764,0.27299892041949414,0.1452827054794175,-0.00712676162582318,0.43333333333333335,184.0,-0.034902561403495194,0.8782677165354331,0.6433888419921725,0.6136904305118563,0.7117823296798207,1.2116246185428967,42,0.1395950704223621
2013-10-10,0.012380738679072129,4564.0,0.1343120070113935,0.004834754610708962,0.005281550046082684,0.9154044870397262,0.46603438969851185,84.0,0.10268348519848473,124.0,0.7131120363944792,0.13009484154522322,0.666508597424628,0.28009484154522324,0.14082707213049234,-0.0067807708660162025,0.42822497799129144,185.0,-0.0381435869320076,0.8782773009999213,0.5563228974831185,0.018953345610804175,,1.2016953655659692,40,0.13546891619287937
